Word,Description
Vault,the act of jumping over an obstacle
Vaunt,extravagant self-praise
Vedic,of or relating to the Vedas or to the ancient Sanskrit in which they were written
Veery,tawny brown North American thrush noted for its song
Vegan,a strict vegetarian; someone who eats no animal or dairy products at all
Velar,produced with the back of the tongue touching or near the soft palate (as `k' in `cat' and `g' in `gun' and `ng' in `sing')
Veldt,elevated open grassland in southern Africa
Velum,a muscular flap that closes off the nasopharynx during swallowing or speaking
Venal,capable of being corrupted
Venom,feeling a need to see others suffer
Venue,in law: the jurisdiction where a trial will be held
Venus,type genus of the family Veneridae: genus of edible clams with thick oval shells
Vepse,a Finnic language spoken by the Veps
Verdi,Italian operatic composer (1813-1901)
Verge,a grass border along a road
Verne,French writer who is considered the father of science fiction (1828-1905)
Verpa,a morel whose fertile portion resembles a bell and is attached to the stipe only at the top
Verse,a piece of poetry
Verso,the side of a coin or medal that does not bear the principal design
Verst,a Russian unit of length (1.067 km)
Vertu,artistic quality
Verve,an energetic style
Vesey,United States freed slave and insurrectionist in South Carolina who was involved in planning an uprising of slaves and was hanged (1767-1822)
Vespa,type genus of the Vespidae: various hornets and yellow jackets
Vesta,the brightest asteroid but the fourth to be discovered
Vetch,any of various climbing plants of the genus Vicia having pinnately compound leaves that terminate in tendrils and small variously colored flowers; includes valuable forage and soil-building plants
Vexed,causing difficulty in finding an answer or solution; much disputed
Vexer,someone given to teasing (as by mocking or stirring curiosity)
Viand,a choice or delicious dish
Vibes,a percussion instrument similar to a xylophone but having metal bars and rotating disks in the resonators that produce a vibrato sound
Vicar,a Roman Catholic priest who acts for another higher-ranking clergyman
Vichy,a town in central France (south of Paris) noted for hot mineral springs; was capital of the unoccupied part of France during World War II
Vicia,widely distributed genus of annual or perennial and often climbing herbs
Vidal,United States writer (born in 1925)
Vidar,(Norse mythology) one of the Aesir; son of Odin; avenges his parent by slaying Fenrir at Ragnarok
Video,a recording of both the visual and audible components (especially one containing a recording of a movie or television program)
Vidua,whydahs
Vigil,a purposeful surveillance to guard or observe
Vigna,genus of vines or erect herbs having trifoliate leaves and yellowish or purplish flowers; of warm or tropical regions; most species often placed in genus Phaseolus
Vigor,an imaginative lively style (especially style of writing)
Villa,pretentious and luxurious country residence with extensive grounds
Vilna,the capital and largest city of Lithuania; located in southeastern Lithuania
Vilno,the capital and largest city of Lithuania; located in southeastern Lithuania
Vinca,periwinkles: low creeping evergreen perennials
Vinyl,shiny and tough and flexible plastic; used especially for floor coverings
Viola,"a bowed stringed instrument slightly larger than a violin, tuned a fifth lower"
Vioxx,a Cox-2 inhibitor (trade name Vioxx) that relieves pain and inflammation without harming the digestive tract; voluntarily withdrawn from the market in 2004
Viper,venomous Old World snakes characterized by hollow venom-conducting fangs in the upper jaw
Viral,relating to or caused by a virus
Vireo,any of various small insectivorous American birds chiefly olive-grey in color
Virga,light wispy precipitation that evaporates before it reaches the ground (especially when the lower air is low in humidity)
Virgo,the sixth sign of the zodiac; the sun is in this sign from about August 23 to September 22
Virtu,objet d'art collectively (especially fine antiques)
Virus,(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
Visit,"a temporary stay (e.g., as a guest)"
Visor,a brim that projects to the front to shade the eyes
Vista,the visual percept of a region
Vital,manifesting or characteristic of life
Vitis,the type genus of the family Vitaceae; woody vines with simple leaves and small flowers; includes a wide variety of grapes
Vitus,Christian martyr and patron of those who suffer from epilepsy and Sydenham's chorea (died around 300)
Vivid,(of color) having the highest saturation
Vixen,a female fox
Vizor,a brim that projects to the front to shade the eyes
Vocal,given to expressing yourself freely or insistently
Vodka,unaged colorless liquor originating in Russia
Vogue,the popular taste at a given time
Vogul,the Ugric language (related to Hungarian) spoken by the Vogul
Voice,a means or agency by which something is expressed or communicated
Voile,a light semitransparent fabric
Volar,relating to the palm of the hand or the sole of the foot
Volga,a Russian river; the longest river in Europe; flows into the Caspian Sea
Volta,a river in Ghana that flows south to the Bight of Benin
Volva,cuplike structure around the base of the stalk of certain fungi
Vomer,thin trapezoidal bone of the skull forming the posterior and inferior parts of the nasal septum
Vomit,the reflex act of ejecting the contents of the stomach through the mouth
Voter,a citizen who has a legal right to vote
Vouch,give supporting evidence
Vouge,a kind of pike used by foot soldiers in the 14th century
Vowel,a speech sound made with the vocal tract open
Vower,someone who makes a solemn promise to do something or behave in a certain way
Vroom,the roaring sound made by a motor that is running at high speed
Vulva,external parts of the female genitalia
Wacko,a person who is regarded as eccentric or mad
Wacky,informal or slang terms for mentally irregular
Wader,any of many long-legged birds that wade in water in search of food
Wafer,thin disk of unleavened bread used in a religious service (especially in the celebration of the Eucharist)
Wager,the act of gambling
Wages,a recompense for worthy acts or retribution for wrongdoing
Wagon,a car that has a long body and rear door with space behind rear seat
Wahoo,large fast-moving predacious food and game fish; found worldwide
Waist,the narrow part of the shoe connecting the heel and the wide part of the sole
Waite,United States jurist who was appointed chief justice of the United States Supreme Court in 1874 by President Grant (1816-1888)
Waive,"lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
Wajda,Polish filmmaker (born in 1929)
Waken,stop sleeping
Waker,a person who awakes
Wales,one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; during Roman times the region was known as Cambria
Wally,a silly and inept person; someone who is regarded as stupid
Waltz,a ballroom dance in triple time with a strong accent on the first beat
Wanly,in a weak or pale or languid manner
Warji,a Chadic language spoken in northern Nigeria
Warty,(of skin) covered with warts or projections that resemble warts
Washy,having lost freshness or brilliance of color
Waste,located in a dismal or remote area; desolate
Watch,a purposeful surveillance to guard or observe
Water,a facility that provides a source of water
Watts,English poet and theologian (1674-1748)
Waugh,English author of satirical novels (1903-1966)
